oid;purl;iiif
pb266xq1374;http://purl.stanford.edu/pb266xq1374;https://stacks.stanford.edu/image/iiif/pb266xq1374/pb266xq1374_00_0001
cc394qj9218;http://purl.stanford.edu/cc394qj9218;https://stacks.stanford.edu/image/iiif/cc394qj9218/cc394qj9218_00_0001
zq417gz0982;http://purl.stanford.edu/zq417gz0982;https://stacks.stanford.edu/image/iiif/zq417gz0982/zq417gz0982_00_0001
qw807kd6455;http://purl.stanford.edu/qw807kd6455;https://stacks.stanford.edu/image/iiif/qw807kd6455/qw807kd6455_00_0001
fr032dq2588;http://purl.stanford.edu/fr032dq2588;https://stacks.stanford.edu/image/iiif/fr032dq2588/fr032dq2588_00_0001
zg017np1499;http://purl.stanford.edu/zg017np1499;https://stacks.stanford.edu/image/iiif/zg017np1499/zg017np1499_00_0001
wx097qz9675;http://purl.stanford.edu/wx097qz9675;https://stacks.stanford.edu/image/iiif/wx097qz9675/wx097qz9675_00_0001
dv276bc1584;http://purl.stanford.edu/dv276bc1584;https://stacks.stanford.edu/image/iiif/dv276bc1584/dv276bc1584_00_0001
xv324bq8642;http://purl.stanford.edu/xv324bq8642;https://stacks.stanford.edu/image/iiif/xv324bq8642/xv324bq8642_00_0001
kk508sd7300;http://purl.stanford.edu/kk508sd7300;https://stacks.stanford.edu/image/iiif/kk508sd7300/kk508sd7300_00_0001
qt627mq9670;http://purl.stanford.edu/qt627mq9670;https://stacks.stanford.edu/image/iiif/qt627mq9670/qt627mq9670_00_0001
vq005cz5381;http://purl.stanford.edu/vq005cz5381;https://stacks.stanford.edu/image/iiif/vq005cz5381/vq005cz5381_00_0001
fv996dd2130;http://purl.stanford.edu/fv996dd2130;https://stacks.stanford.edu/image/iiif/fv996dd2130/fv996dd2130_00_0001
kk882hr1890;http://purl.stanford.edu/kk882hr1890;https://stacks.stanford.edu/image/iiif/kk882hr1890/kk882hr1890_00_0001
fw884rn0462;http://purl.stanford.edu/fw884rn0462;https://stacks.stanford.edu/image/iiif/fw884rn0462/fw884rn0462_00_0001
qj166dy5299;http://purl.stanford.edu/qj166dy5299;https://stacks.stanford.edu/image/iiif/qj166dy5299/qj166dy5299_00_0001
md502yd7566;http://purl.stanford.edu/md502yd7566;https://stacks.stanford.edu/image/iiif/md502yd7566/md502yd7566_00_0001
sg925xn5866;http://purl.stanford.edu/sg925xn5866;https://stacks.stanford.edu/image/iiif/sg925xn5866/sg925xn5866_00_0001
kb486tc6639;http://purl.stanford.edu/kb486tc6639;https://stacks.stanford.edu/image/iiif/kb486tc6639/kb486tc6639_00_0001
xn340mq1056;http://purl.stanford.edu/xn340mq1056;https://stacks.stanford.edu/image/iiif/xn340mq1056/xn340mq1056_00_0001
xc320wz4170;http://purl.stanford.edu/xc320wz4170;https://stacks.stanford.edu/image/iiif/xc320wz4170/xc320wz4170_00_0001
md155mp7573;http://purl.stanford.edu/md155mp7573;https://stacks.stanford.edu/image/iiif/md155mp7573/md155mp7573_00_0001
th329vy2027;http://purl.stanford.edu/th329vy2027;https://stacks.stanford.edu/image/iiif/th329vy2027/th329vy2027_00_0001
qx197rw0921;http://purl.stanford.edu/qx197rw0921;https://stacks.stanford.edu/image/iiif/qx197rw0921/qx197rw0921_00_0001
bd799xb6405;http://purl.stanford.edu/bd799xb6405;https://stacks.stanford.edu/image/iiif/bd799xb6405/bd799xb6405_00_0001
rj729mg4908;http://purl.stanford.edu/rj729mg4908;https://stacks.stanford.edu/image/iiif/rj729mg4908/rj729mg4908_00_0001
dt074vm2716;http://purl.stanford.edu/dt074vm2716;https://stacks.stanford.edu/image/iiif/dt074vm2716/dt074vm2716_00_0001
qx064bv2699;http://purl.stanford.edu/qx064bv2699;https://stacks.stanford.edu/image/iiif/qx064bv2699/qx064bv2699_00_0001
hs656vv7569;http://purl.stanford.edu/hs656vv7569;https://stacks.stanford.edu/image/iiif/hs656vv7569/hs656vv7569_00_0001
ws632tw6500;http://purl.stanford.edu/ws632tw6500;https://stacks.stanford.edu/image/iiif/ws632tw6500/ws632tw6500_00_0001
ds127xw0869;http://purl.stanford.edu/ds127xw0869;https://stacks.stanford.edu/image/iiif/ds127xw0869/ds127xw0869_00_0001
ny016km4027;http://purl.stanford.edu/ny016km4027;https://stacks.stanford.edu/image/iiif/ny016km4027/ny016km4027_00_0001
mr794wr9218;http://purl.stanford.edu/mr794wr9218;https://stacks.stanford.edu/image/iiif/mr794wr9218/mr794wr9218_00_0001
fx540yy3714;http://purl.stanford.edu/fx540yy3714;https://stacks.stanford.edu/image/iiif/fx540yy3714/fx540yy3714_00_0001
tt188hg1408;http://purl.stanford.edu/tt188hg1408;https://stacks.stanford.edu/image/iiif/tt188hg1408/tt188hg1408_00_0001
jw276cc9711;http://purl.stanford.edu/jw276cc9711;https://stacks.stanford.edu/image/iiif/jw276cc9711/jw276cc9711_00_0001
sh248xs3251;http://purl.stanford.edu/sh248xs3251;https://stacks.stanford.edu/image/iiif/sh248xs3251/sh248xs3251_00_0001
dp550mn6891;http://purl.stanford.edu/dp550mn6891;https://stacks.stanford.edu/image/iiif/dp550mn6891/dp550mn6891_00_0001
zc089kv5918;http://purl.stanford.edu/zc089kv5918;https://stacks.stanford.edu/image/iiif/zc089kv5918/zc089kv5918_00_0001
xx013fh8315;http://purl.stanford.edu/xx013fh8315;https://stacks.stanford.edu/image/iiif/xx013fh8315/xx013fh8315_00_0001
qw472hz0816;http://purl.stanford.edu/qw472hz0816;https://stacks.stanford.edu/image/iiif/qw472hz0816/qw472hz0816_00_0001
sk046fd8562;http://purl.stanford.edu/sk046fd8562;https://stacks.stanford.edu/image/iiif/sk046fd8562/sk046fd8562_00_0001
dd396cx7334;http://purl.stanford.edu/dd396cx7334;https://stacks.stanford.edu/image/iiif/dd396cx7334/dd396cx7334_00_0001
tt933zv7497;http://purl.stanford.edu/tt933zv7497;https://stacks.stanford.edu/image/iiif/tt933zv7497/tt933zv7497_00_0001
xg366fh8572;http://purl.stanford.edu/xg366fh8572;https://stacks.stanford.edu/image/iiif/xg366fh8572/xg366fh8572_00_0001
pt331jg1774;http://purl.stanford.edu/pt331jg1774;https://stacks.stanford.edu/image/iiif/pt331jg1774/pt331jg1774_00_0001
mz024xw7858;http://purl.stanford.edu/mz024xw7858;https://stacks.stanford.edu/image/iiif/mz024xw7858/mz024xw7858_00_0001
sn081pt1382;http://purl.stanford.edu/sn081pt1382;https://stacks.stanford.edu/image/iiif/sn081pt1382/sn081pt1382_00_0001
jc668yw2909;http://purl.stanford.edu/jc668yw2909;https://stacks.stanford.edu/image/iiif/jc668yw2909/jc668yw2909_00_0001
kf004rh9026;http://purl.stanford.edu/kf004rh9026;https://stacks.stanford.edu/image/iiif/kf004rh9026/kf004rh9026_00_0001
sk712hb2764;http://purl.stanford.edu/sk712hb2764;https://stacks.stanford.edu/image/iiif/sk712hb2764/sk712hb2764_00_0001
gd768hw1348;http://purl.stanford.edu/gd768hw1348;https://stacks.stanford.edu/image/iiif/gd768hw1348/gd768hw1348_00_0001
sw890br0330;http://purl.stanford.edu/sw890br0330;https://stacks.stanford.edu/image/iiif/sw890br0330/sw890br0330_00_0001
jz326fh4144;http://purl.stanford.edu/jz326fh4144;https://stacks.stanford.edu/image/iiif/jz326fh4144/jz326fh4144_00_0001
cd838ff6497;http://purl.stanford.edu/cd838ff6497;https://stacks.stanford.edu/image/iiif/cd838ff6497/cd838ff6497_00_0001
jk267xq2796;http://purl.stanford.edu/jk267xq2796;https://stacks.stanford.edu/image/iiif/jk267xq2796/jk267xq2796_00_0001
pq363np2665;http://purl.stanford.edu/pq363np2665;https://stacks.stanford.edu/image/iiif/pq363np2665/pq363np2665_00_0001
cx900nx8035;http://purl.stanford.edu/cx900nx8035;https://stacks.stanford.edu/image/iiif/cx900nx8035/cx900nx8035_00_0001
dw364cq1965;http://purl.stanford.edu/dw364cq1965;https://stacks.stanford.edu/image/iiif/dw364cq1965/dw364cq1965_00_0001
zb514rh2538;http://purl.stanford.edu/zb514rh2538;https://stacks.stanford.edu/image/iiif/zb514rh2538/zb514rh2538_00_0001
wt392ks3119;http://purl.stanford.edu/wt392ks3119;https://stacks.stanford.edu/image/iiif/wt392ks3119/wt392ks3119_00_0001
wj962fq4768;http://purl.stanford.edu/wj962fq4768;https://stacks.stanford.edu/image/iiif/wj962fq4768/wj962fq4768_00_0001
st141rt0255;http://purl.stanford.edu/st141rt0255;https://stacks.stanford.edu/image/iiif/st141rt0255/st141rt0255_00_0001
wh756fj5956;http://purl.stanford.edu/wh756fj5956;https://stacks.stanford.edu/image/iiif/wh756fj5956/wh756fj5956_00_0001
kx859pz0291;http://purl.stanford.edu/kx859pz0291;https://stacks.stanford.edu/image/iiif/kx859pz0291/kx859pz0291_00_0001
nf479nb1236;http://purl.stanford.edu/nf479nb1236;https://stacks.stanford.edu/image/iiif/nf479nb1236/nf479nb1236_00_0001
yk316wx6106;http://purl.stanford.edu/yk316wx6106;https://stacks.stanford.edu/image/iiif/yk316wx6106/yk316wx6106_00_0001
py479js2630;http://purl.stanford.edu/py479js2630;https://stacks.stanford.edu/image/iiif/py479js2630/py479js2630_00_0001
kh334rm6419;http://purl.stanford.edu/kh334rm6419;https://stacks.stanford.edu/image/iiif/kh334rm6419/kh334rm6419_00_0001
xb337qj2953;http://purl.stanford.edu/xb337qj2953;https://stacks.stanford.edu/image/iiif/xb337qj2953/xb337qj2953_00_0001
tm325pd1757;http://purl.stanford.edu/tm325pd1757;https://stacks.stanford.edu/image/iiif/tm325pd1757/tm325pd1757_00_0001
gp504bm0782;http://purl.stanford.edu/gp504bm0782;https://stacks.stanford.edu/image/iiif/gp504bm0782/gp504bm0782_00_0001
mj419xx5288;http://purl.stanford.edu/mj419xx5288;https://stacks.stanford.edu/image/iiif/mj419xx5288/mj419xx5288_00_0001
rh866tp1958;http://purl.stanford.edu/rh866tp1958;https://stacks.stanford.edu/image/iiif/rh866tp1958/rh866tp1958_00_0001
rj182gy5789;http://purl.stanford.edu/rj182gy5789;https://stacks.stanford.edu/image/iiif/rj182gy5789/rj182gy5789_00_0001
ns269cv9086;http://purl.stanford.edu/ns269cv9086;https://stacks.stanford.edu/image/iiif/ns269cv9086/ns269cv9086_00_0001
pd143yg6807;http://purl.stanford.edu/pd143yg6807;https://stacks.stanford.edu/image/iiif/pd143yg6807/pd143yg6807_00_0001
yg959ng1802;http://purl.stanford.edu/yg959ng1802;https://stacks.stanford.edu/image/iiif/yg959ng1802/yg959ng1802_00_0001
xc588bx6283;http://purl.stanford.edu/xc588bx6283;https://stacks.stanford.edu/image/iiif/xc588bx6283/xc588bx6283_00_0001
gn664hn9288;http://purl.stanford.edu/gn664hn9288;https://stacks.stanford.edu/image/iiif/gn664hn9288/gn664hn9288_00_0001
xf384qv4312;http://purl.stanford.edu/xf384qv4312;https://stacks.stanford.edu/image/iiif/xf384qv4312/xf384qv4312_00_0001
fc081pc2550;http://purl.stanford.edu/fc081pc2550;https://stacks.stanford.edu/image/iiif/fc081pc2550/fc081pc2550_00_0001
dy815pf0341;http://purl.stanford.edu/dy815pf0341;https://stacks.stanford.edu/image/iiif/dy815pf0341/dy815pf0341_00_0001
